url,title,year,month,day,archive
https://www.cambodiadailykhmer.com/38236,បក្ស​ប្រឆាំង​នឹង​ស្នើ​ឱ្យ​​ព្រះ​មហា​ក្សត្រ​​កុំឡាយ​ព្រះ​ហស្ត​​​វិសោធ​ន​​កម្ម​លើ​ច្បាប់​​ស្ដីពី​បក្ស​នយោបាយ,2017,7,20,https://web.archive.org/web/*/https://www.cambodiadailykhmer.com/38236
https://www.cambodiadailykhmer.com/38206,នគរបាលដុត​​​​​​បំផ្លាញ​​​​​កញ្ឆា​​​​​​៦០.០០០ដើម ​​​នៅស្រុក​​​គិរីវង់ ខេត្ត​​​តាកែវ,2017,7,19,https://web.archive.org/web/*/https://www.cambodiadailykhmer.com/38206
https://www.cambodiadailykhmer.com/38202,តុលាការ​​​ប្តេជ្ញា​​​ចាត់​​​វិធានការ​​​ផ្លូវ​​​ច្បាប់​​​លើ​​​ប្រធាន​​​គណៈកម្មាធិការ​​​ប្រតិបត្តិគណបក្ស​​​សង្គ្រោះ​​​ជាតិ,2017,7,18,https://web.archive.org/web/*/https://www.cambodiadailykhmer.com/38202
https://www.cambodiadailykhmer.com/38200,កម្រិត​ទឹក​ទន្លេហក់​ឡើង​​ខ្លាំង​នៅ​ភូមិ​​ក្នុងតំបន់​ទំនប់​សេសាន ខណៈ​ប្រជា​ពលរដ្ឋ​មិនព្រម​​ចាក​ចេញ,2017,7,18,https://web.archive.org/web/*/https://www.cambodiadailykhmer.com/38200
https://www.cambodiadailykhmer.com/38198,​​ស្ថាន​ទូត​​​​​កម្ពុជា​​ប្រចាំ​​​នៅ​ប្រទេស​​ម៉ាឡេស៊ី​ខ​្វះ​ថវិកា​​​​​​​​​​បញ្ជូន​​ពល​ករ​​​​​ខុស​ច្បាប់​ត្រឡប់​មក​ស្រុក​វិញ​,2017,7,18,https://web.archive.org/web/*/https://www.cambodiadailykhmer.com/38198
https://www.cambodiadailykhmer.com/38194,ពលករខ្មែរ​បង្ហោះវីដេអូ​ដែលអះអាងថា មាន​ការរំលោភ​បំពាន​នៅកូរ៉េខាង​ត្បូង​​,2017,7,18,https://web.archive.org/web/*/https://www.cambodiadailykhmer.com/38194
https://www.cambodiadailykhmer.com/38175,រដ្ឋាភិបាល​​​នឹង​បន្ត​​​យុទ្ធនាការ​​​បង្ក្រាប​​​គ្រឿង​​​ញៀន​​​ដោយ​​​គ្រោង​​​ចំណាយ​​​ថវិកាជិត​​​១លាន​​​ដុល្លារ​​​,2017,7,14,https://web.archive.org/web/*/https://www.cambodiadailykhmer.com/38175
https://www.cambodiadailykhmer.com/38173,បុរស​​​ដែល​​​​​​ធ្វើ​​​ទារុណកម្ម​​​លើ​​​កុមារ និង​​​ប្រុស​​​ស្នេហ៍​​​ត្រូវ​​​បានតុលាការ​​​​​​ផ្តន្ទាទោស​​​,2017,7,14,https://web.archive.org/web/*/https://www.cambodiadailykhmer.com/38173
https://www.cambodiadailykhmer.com/38171,ស្ថានទូត​​​ខ្មែរ​​នៅ​ម៉ាឡេស៊ី​​ផ្ដល់​​ជម្រក​ដល់​​ពលករ​ខ្មែរ​​អំឡុង​​ការ​បង្ក្រាប,2017,7,14,https://web.archive.org/web/*/https://www.cambodiadailykhmer.com/38171
https://www.cambodiadailykhmer.com/38167,រដ្ឋាភិបាល​​​ច្រាន​​​ចោល​​​សំណើ​​​សុំ​​​ពន្យារពេល​​​​​​នៅ​​​នាទី​​​ចុង​​​ក្រោយ​​​​​​​​​​របស់​​​គ្រួសារ​​​ក្នុ​​​ង​​​តំបន់​​​​​​ទំនប់​​​សេសាន​,2017,7,14,https://web.archive.org/web/*/https://www.cambodiadailykhmer.com/38167
